TPC Label,tank.replicate,Population,Temp,Date Hatched,Date TPC,timepoint,date.feed,no.consumed,duration,rate,all.consumed
1111,1,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1112,1,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,1,5,0.2,n
1113,1,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1121,2,Willapa,16,7/28/2019,7/29/2019,1,8/3/2019,2,5,0.4,n
1122,2,Willapa,16,7/28/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1123,2,Willapa,16,7/28/2019,7/29/2019,1,8/3/2019,2,5,0.4,n
1131,3,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1132,3,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1133,3,Willapa,16,7/26/2019,7/27/2019,1,8/1/2019,2,5,0.4,n
1211,1,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,2,5,0.4,n
1212,1,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,0,5,0,n
1213,1,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,0,5,0,n
1221,2,Humboldt,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1222,2,Humboldt,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1223,2,Humboldt,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1231,3,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,0,5,0,n
1232,3,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,0,5,0,n
1233,3,Humboldt,16,7/28/2019,7/28/2019,1,8/2/2019,0,5,0,n
1311,1,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1312,1,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1313,1,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,1,4,0.25,n
1321,2,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1322,2,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1323,2,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1331,3,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1332,3,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1333,3,Great Bay,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1411,1,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1412,1,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,2,5,0.4,n
1413,1,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,2,5,0.4,n
1421,2,Woods Hole,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1422,2,Woods Hole,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1423,2,Woods Hole,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1431,3,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1432,3,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
1433,3,Woods Hole,16,7/26/2019,7/27/2019,1,8/1/2019,2,5,0.4,n
1511,1,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1512,1,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1513,1,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,1,4,0.25,n
1521,2,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1522,2,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,1,4,0.25,n
1523,2,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1531,3,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,1,4,0.25,n
1532,3,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,0,4,0,n
1533,3,Oyster,16,8/1/2019,8/1/2019,1,8/5/2019,1,4,0.25,n
1611,1,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1612,1,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1613,1,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1621,2,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1622,2,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1623,2,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1631,3,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,2,5,0.4,n
1632,3,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,1,5,0.2,n
1633,3,Beaufort,16,7/29/2019,7/29/2019,1,8/3/2019,0,5,0,n
1711,1,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,1,5,0.2,n
1712,1,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,0,5,0,n
1713,1,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,1,5,0.2,n
1721,2,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,0,5,0,n
1722,2,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,1,5,0.2,n
1723,2,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,1,5,0.2,n
1731,3,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,0,5,0,n
1732,3,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,0,5,0,n
1733,3,Folly Beach,16,7/31/2019,8/2/2019,1,8/7/2019,2,5,0.4,n
1811,1,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
1812,1,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
1813,1,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
1821,2,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,1,5,0.2,n
1822,2,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,1,5,0.2,n
1823,2,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
1831,3,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,1,5,0.2,n
1832,3,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
1833,3,Skidaway,16,7/30/2019,7/30/2019,1,8/4/2019,0,5,0,n
2111,1,Willapa,20,7/30/2019,7/30/2019,1,8/4/2019,1,5,0.2,n
2112,1,Willapa,20,7/30/2019,7/30/2019,1,8/4/2019,2,5,0.4,n
2113,1,Willapa,20,7/30/2019,7/30/2019,1,8/4/2019,3,5,0.6,n
2121,2,Willapa,20,7/26/2019,7/27/2019,1,8/1/2019,0,5,0,n
2122,2,Willapa,20,7/26/2019,7/27/2019,1,8/1/2019,3,5,0.6,n
