State,Collection.site,Shell.height,
GA,SK,30.07,1
GA,SK,24.6,1
GA,SK,34.79,1
GA,SK,31.48,1
GA,SK,27.64,1
GA,SK,27.3,1
GA,SK,29.92,1
GA,SK,30.25,1
GA,SK,33.95,1
GA,SK,26.14,1
GA,SK,26.7,1
GA,SK,30.54,1
GA,SK,35.36,1
GA,SK,29.7,1
GA,SK,32.58,1
GA,SK,32.19,1
GA,SK,31.05,1
GA,SK,31.9,1
GA,SK,30.64,1
GA,SK,32.61,1
GA,SK,34.18,1
GA,SK,13.71,1
SC,FB,29.76,2
SC,FB,18.26,2
SC,FB,24.67,2
SC,FB,21.01,2
SC,FB,24.67,2
SC,FB,32.65,2
SC,FB,28.78,2
SC,FB,21.84,2
SC,FB,23.91,2
SC,FB,29.61,2
SC,FB,28.63,2
SC,FB,28.16,2
SC,FB,24.39,2
SC,FB,21.1,2
SC,FB,28.1,2
SC,FB,23.86,2
SC,FB,24.66,2
SC,FB,30.53,2
SC,FB,24.82,2
SC,FB,17.76,2
SC,FB,24.51,2
SC,FB,30.41,2
SC,FB,25.76,2
SC,FB,24.01,2
SC,FB,33.48,2
SC,FB,21.68,2
SC,FB,27.73,2
SC,FB,23.05,2
SC,FB,33.45,2
SC,FB,19.94,2
SC,FB,30.68,2
SC,FB,31.73,2
SC,FB,28.25,2
SC,FB,24.42,2
SC,FB,25.86,2
SC,FB,25.4,2
SC,FB,25.77,2
SC,FB,23.24,2
SC,FB,27.82,2
SC,FB,28.96,2
SC,FB,20.77,2
SC,FB,15.84,2
SC,FB,25.2,2
SC,FB,21.92,2
SC,FB,26.62,2
SC,FB,17.67,2
SC,FB,24.55,2
SC,FB,25.77,2
SC,FB,20.33,2
SC,FB,26.28,2
SC,FB,21.39,2
SC,FB,24.9,2
SC,FB,22.64,2
SC,FB,24.66,2
SC,FB,26.75,2
SC,FB,18.89,2
SC,FB,18.34,2
SC,FB,24.51,2
SC,FB,24.41,2
SC,FB,28.39,2
SC,FB,21.69,2
SC,FB,19.85,2
SC,FB,23.26,2
SC,FB,21.36,2
SC,FB,23.99,2
SC,FB,18.8,2
SC,FB,23.09,2
SC,FB,27.03,2
SC,FB,30.22,2
SC,FB,28.72,2
SC,FB,22.63,2
