numero,param,conf_lower,conf_upper,method,estimate,code,pop,bin
1,rmax,4.511652361,5.064654451,case bootstrap,4.795439433,gb1,gb,1
2,topt,27.4369003,30,case bootstrap,28.174,gb1,gb,1
3,ctmin,-7.822280047,7.968964683,case bootstrap,4.131,gb1,gb,1
4,ctmax,32.22026722,38.86821992,case bootstrap,33.551,gb1,gb,1
5,e,0.294461607,0.940787436,case bootstrap,0.685671934,gb1,gb,1
6,q10,2.32518189,2.65601943,case bootstrap,2.471494987,gb1,gb,1
7,thermal_safety_margin,4.350948354,8.297765033,case bootstrap,5.377,gb1,gb,1
8,thermal_tolerance,24.03286442,44.37312774,case bootstrap,29.42,gb1,gb,1
9,breadth,4.874435347,7.926200695,case bootstrap,6.104,gb1,gb,1
10,rmax,3.695339225,4.377938867,case bootstrap,4.056623474,wh1,wh,1
11,topt,25.90590436,28.64854234,case bootstrap,27.619,wh1,wh,1
12,ctmin,-7.667693575,6.595951598,case bootstrap,0.124,wh1,wh,1
13,ctmax,29.97090255,36.15426406,case bootstrap,33.434,wh1,wh,1
14,e,0.509294701,1.164370561,case bootstrap,0.905715496,wh1,wh,1
15,eh,-0.611014374,0.185632614,case bootstrap,-0.322078065,wh1,wh,1
16,q10,2.721460728,4.771651485,case bootstrap,3.339012508,wh1,wh,1
17,thermal_safety_margin,3.901549116,7.896897159,case bootstrap,5.815,wh1,wh,1
18,thermal_tolerance,25.15500134,42.81299972,case bootstrap,33.31,wh1,wh,1
19,breadth,5.753800005,8.245319077,case bootstrap,6.828,wh1,wh,1
20,skewness,0.665133014,1.626475118,case bootstrap,1.227793561,wh1,wh,1
21,rmax,4.280697412,4.861547459,case bootstrap,4.668167999,oy1,oy,1
22,topt,27.0408591,29.04293823,case bootstrap,27.777,oy1,oy,1
23,ctmin,-5.466521023,6.728006616,case bootstrap,2.846,oy1,oy,1
24,ctmax,32.00102042,35.26061744,case bootstrap,33.337,oy1,oy,1
25,e,0.491955752,0.99289686,case bootstrap,0.755984466,oy1,oy,1
26,eh,0.007391883,0.866886971,case bootstrap,0.470159141,oy1,oy,1
27,q10,2.307254099,3.48249424,case bootstrap,2.742027824,oy1,oy,1
28,thermal_safety_margin,4.340570577,7.604044221,case bootstrap,5.56,oy1,oy,1
29,thermal_tolerance,26.10378137,39.96308086,case bootstrap,30.491,oy1,oy,1
30,breadth,5.014426407,8.556589506,case bootstrap,6.635,oy1,oy,1
31,skewness,-0.144661754,0.87973031,case bootstrap,0.285825324,oy1,oy,1
32,rmax,4.269994682,4.708124802,case bootstrap,4.459893803,bf1,bf,1
33,topt,26.9134602,28.71089814,case bootstrap,28.089,bf1,bf,1
34,ctmin,-10.60237204,7.583233187,case bootstrap,0.793,bf1,bf,1
35,ctmax,32.03473862,36.31944233,case bootstrap,34.134,bf1,bf,1
36,e,0.322678078,0.920102636,case bootstrap,0.564236977,bf1,bf,1
37,thermal_safety_margin,4.557033059,7.780821427,case bootstrap,6.045,bf1,bf,1
38,thermal_tolerance,25.14519737,46.38691729,case bootstrap,33.341,bf1,bf,1
39,breadth,5.1328245,7.651285456,case bootstrap,6.664,bf1,bf,1
40,rmax,3.742373583,4.232364017,case bootstrap,3.958957721,fb1,fb,1
41,topt,25.872,26.946,case bootstrap,26.475,fb1,fb,1
42,ctmin,-4.36469047,7.886510239,case bootstrap,3.358,fb1,fb,1
43,ctmax,30.24282435,32.2141967,case bootstrap,31.541,fb1,fb,1
44,e,0.511446784,1.158795956,case bootstrap,0.783729385,fb1,fb,1
45,eh,0.233251791,1.260803015,case bootstrap,1.22900813,fb1,fb,1
46,q10,2.326458097,3.94028531,case bootstrap,2.836587677,fb1,fb,1
47,thermal_safety_margin,4.248636375,6.009126126,case bootstrap,5.066,fb1,fb,1
48,thermal_tolerance,22.3066512,36.48474474,case bootstrap,28.183,fb1,fb,1
49,breadth,5.493059179,7.818,case bootstrap,6.658,fb1,fb,1
50,skewness,-0.702107948,0.855794386,case bootstrap,-0.445278744,fb1,fb,1
51,rmax,3.789330389,4.272025719,case bootstrap,4.044988336,sk1,sk,1
