"","param","2.5 %","97.5 %","method","estimate","code"
"1","rmax",4.51888681424779,5.09073808553984,"case bootstrap",4.79542938666929,"gb1"
"2","topt",27.5639594069299,30,"case bootstrap",28.174,"gb1"
"3","ctmin",-4.82980591531543,8.84296160736251,"case bootstrap",4.13,"gb1"
"4","ctmax",32.3604610184788,38.9119096307305,"case bootstrap",33.551,"gb1"
"5","e",0.326922500841124,0.964897516420637,"case bootstrap",0.68567193407295,"gb1"
"6","q10",2.33661738710972,2.73050044797382,"case bootstrap",2.47149498729316,"gb1"
"7","thermal_safety_margin",4.25292216456726,7.69101886338554,"case bootstrap",5.377,"gb1"
"8","thermal_tolerance",23.3301455185859,41.8002578755986,"case bootstrap",29.421,"gb1"
"9","breadth",3.94509325209451,7.3927793086078,"case bootstrap",6.104,"gb1"
"10","rmax",3.73668997420017,4.43576917743573,"case bootstrap",4.05661772130506,"wh1"
"11","topt",25.6458466778184,28.5731094858011,"case bootstrap",27.619,"wh1"
"12","ctmin",-6.21432357271355,5.59275053461305,"case bootstrap",0.124000000000002,"wh1"
"13","ctmax",32.1766424639105,41.4562750754327,"case bootstrap",33.434,"wh1"
"14","e",0.521696949746631,1.11508409649388,"case bootstrap",0.905715496493021,"wh1"
"15","eh",-0.610249639619858,0.120408933606462,"case bootstrap",-0.322078064836291,"wh1"
"16","q10",2.43529673510651,4.1595270333014,"case bootstrap",3.33901250754117,"wh1"
"17","thermal_safety_margin",4.75764371868813,14.3379190529667,"case bootstrap",5.815,"wh1"
"18","thermal_tolerance",26.6614858407517,41.2697004185304,"case bootstrap",33.31,"wh1"
"19","breadth",5.87145895939827,8.07477570269841,"case bootstrap",6.828,"wh1"
"20","skewness",0.773297953601402,1.54295147594024,"case bootstrap",1.22779356132931,"wh1"
"21","rmax",4.29727232343847,4.85933389951186,"case bootstrap",4.66817952086381,"oy1"
"22","topt",27.1291587934003,29.4911542264093,"case bootstrap",27.777,"oy1"
