site,WTMP,DateTimeStamp
dm,0,1/2/2018
dm,0,1/9/2018
dm,0.5,1/11/2018
dm,1,1/16/2018
dm,1.5,1/18/2018
dm,1.5,1/23/2018
dm,1,1/25/2018
dm,2,2/1/2018
dm,2,2/6/2018
dm,1.5,2/8/2018
dm,3,2/13/2018
dm,4,2/15/2018
dm,4,2/20/2018
dm,4.5,2/22/2018
dm,5.5,2/27/2018
dm,7,3/1/2018
dm,4.5,3/6/2018
dm,3,3/20/2018
dm,5,3/28/2018
dm,6.5,4/3/2018
dm,6,4/5/2018
dm,6,4/9/2018
dm,7,4/11/2018
dm,6.5,4/17/2018
dm,7,4/19/2018
dm,8.5,4/24/2018
dm,8.5,4/26/2018
dm,9,5/1/2018
dm,9.75,5/3/2018
dm,12,5/10/2018
dm,11.5,5/11/2018
dm,12,5/15/2018
dm,15,5/22/2018
dm,15,5/24/2018
dm,14,5/29/2018
dm,14,6/5/2018
dm,14,6/7/2018
dm,14,6/12/2018
dm,15,6/14/2018
dm,16,6/19/2018
dm,16,6/21/2018
dm,18,7/3/2018
dm,20,7/5/2018
dm,20,7/10/2018
dm,18,7/12/2018
dm,18.7,7/17/2018
dm,20,7/19/2018
dm,20,7/24/2018
dm,19,7/26/2018
dm,21,7/31/2018
dm,22,8/2/2018
dm,21,8/9/2018
dm,22,8/16/2018
dm,21,8/21/2018
dm,18,9/13/2018
dm,15,10/11/2018
dm,13.5,10/16/2018
dm,13,10/18/2018
dm,12,10/23/2018
dm,11,10/25/2018
dm,9,10/30/2018
dm,11,11/1/2018
dm,10,11/6/2018
dm,9,11/13/2018
dm,6,11/19/2018
dm,6,11/27/2018
dm,5,11/29/2018
dm,5,12/4/2018
dm,6,12/6/2018
dm,5,12/11/2018
dm,4,12/13/2018
dm,3,12/18/2018
dm,4,12/20/2018
