site,WTMP,DateTimeStamp
gbj,-0.134,1/1/2018 0:00
gbj,-0.137,1/1/2018 0:15
gbj,-0.212,1/1/2018 0:30
gbj,-0.365,1/1/2018 0:45
gbj,-0.549,1/1/2018 1:00
gbj,-0.68,1/1/2018 1:15
gbj,-0.694,1/1/2018 1:30
gbj,-0.713,1/1/2018 1:45
gbj,-0.761,1/1/2018 2:00
gbj,-0.813,1/1/2018 2:15
gbj,-0.848,1/1/2018 2:30
gbj,-0.887,1/1/2018 2:45
gbj,-0.931,1/1/2018 3:00
gbj,-0.961,1/1/2018 3:15
gbj,-1,1/1/2018 3:30
gbj,-1.024,1/1/2018 3:45
gbj,-1.047,1/1/2018 4:00
gbj,-1.061,1/1/2018 4:15
gbj,-1.071,1/1/2018 4:30
gbj,-1.083,1/1/2018 4:45
gbj,-1.094,1/1/2018 5:00
gbj,-1.102,1/1/2018 5:15
gbj,-1.107,1/1/2018 5:30
gbj,-1.112,1/1/2018 5:45
gbj,-1.124,1/1/2018 6:00
gbj,-1.131,1/1/2018 6:15
gbj,-1.129,1/1/2018 6:30
gbj,-1.14,1/1/2018 6:45
gbj,-1.137,1/1/2018 7:00
gbj,-1.104,1/1/2018 7:15
gbj,-1.058,1/1/2018 7:30
gbj,-1.035,1/1/2018 7:45
gbj,-1.013,1/1/2018 8:00
gbj,-0.997,1/1/2018 8:15
gbj,-1.004,1/1/2018 8:30
gbj,-0.98,1/1/2018 8:45
gbj,-0.932,1/1/2018 9:00
gbj,-0.899,1/1/2018 9:15
gbj,-0.863,1/1/2018 9:30
gbj,-0.805,1/1/2018 9:45
gbj,-0.763,1/1/2018 10:00
gbj,-0.681,1/1/2018 10:15
gbj,-0.563,1/1/2018 10:30
gbj,-0.398,1/1/2018 10:45
gbj,-0.231,1/1/2018 11:00
gbj,-0.026,1/1/2018 11:15
gbj,0.115,1/1/2018 11:30
gbj,0.255,1/1/2018 11:45
gbj,0.337,1/1/2018 12:00
gbj,0.371,1/1/2018 12:15
gbj,0.339,1/1/2018 12:30
gbj,0.199,1/1/2018 12:45
gbj,0.076,1/1/2018 13:00
gbj,-0.103,1/1/2018 13:15
gbj,-0.209,1/1/2018 13:30
gbj,-0.215,1/1/2018 13:45
gbj,-0.262,1/1/2018 14:00
gbj,-0.315,1/1/2018 14:15
gbj,-0.331,1/1/2018 14:30
