site,WTMP,DateTimeStamp
GCSK,13.378,1/1/2018 0:00
GCSK,13.368,1/1/2018 0:05
GCSK,13.361,1/1/2018 0:10
GCSK,13.348,1/1/2018 0:15
GCSK,13.34,1/1/2018 0:20
GCSK,13.328,1/1/2018 0:25
GCSK,13.321,1/1/2018 0:30
GCSK,13.316,1/1/2018 0:35
GCSK,13.314,1/1/2018 0:40
GCSK,13.309,1/1/2018 0:45
GCSK,13.304,1/1/2018 0:50
GCSK,13.301,1/1/2018 0:55
GCSK,13.297,1/1/2018 1:00
GCSK,13.298,1/1/2018 1:05
GCSK,13.298,1/1/2018 1:10
GCSK,13.3,1/1/2018 1:15
GCSK,13.297,1/1/2018 1:20
GCSK,13.291,1/1/2018 1:25
GCSK,13.266,1/1/2018 1:30
GCSK,13.242,1/1/2018 1:35
GCSK,13.286,1/1/2018 1:40
GCSK,13.289,1/1/2018 1:45
GCSK,13.283,1/1/2018 1:50
GCSK,13.288,1/1/2018 1:55
GCSK,13.292,1/1/2018 2:00
GCSK,13.292,1/1/2018 2:05
GCSK,13.282,1/1/2018 2:10
GCSK,13.278,1/1/2018 2:15
GCSK,13.27,1/1/2018 2:20
GCSK,13.265,1/1/2018 2:25
GCSK,13.258,1/1/2018 2:30
GCSK,13.253,1/1/2018 2:35
GCSK,13.246,1/1/2018 2:40
GCSK,13.238,1/1/2018 2:45
GCSK,13.23,1/1/2018 2:50
GCSK,13.225,1/1/2018 2:55
GCSK,13.221,1/1/2018 3:00
GCSK,13.221,1/1/2018 3:05
GCSK,13.217,1/1/2018 3:10
GCSK,13.213,1/1/2018 3:15
GCSK,13.21,1/1/2018 3:20
GCSK,13.208,1/1/2018 3:25
GCSK,13.207,1/1/2018 3:30
GCSK,13.204,1/1/2018 3:35
GCSK,13.202,1/1/2018 3:40
GCSK,13.198,1/1/2018 3:45
GCSK,13.195,1/1/2018 3:50
GCSK,13.192,1/1/2018 3:55
GCSK,13.189,1/1/2018 4:00
GCSK,13.185,1/1/2018 4:05
GCSK,13.178,1/1/2018 4:10
GCSK,13.175,1/1/2018 4:15
GCSK,13.174,1/1/2018 4:20
GCSK,13.17,1/1/2018 4:25
GCSK,13.165,1/1/2018 4:30
GCSK,13.161,1/1/2018 4:35
GCSK,13.158,1/1/2018 4:40
GCSK,13.152,1/1/2018 4:45
GCSK,13.149,1/1/2018 4:50
GCSK,13.146,1/1/2018 4:55
GCSK,13.142,1/1/2018 5:00
GCSK,13.134,1/1/2018 5:05
GCSK,13.131,1/1/2018 5:10
GCSK,13.13,1/1/2018 5:15
GCSK,13.126,1/1/2018 5:20
GCSK,13.122,1/1/2018 5:25
GCSK,13.115,1/1/2018 5:30
GCSK,13.112,1/1/2018 5:35
GCSK,13.11,1/1/2018 5:40
GCSK,13.108,1/1/2018 5:45
GCSK,13.103,1/1/2018 5:50
GCSK,13.09,1/1/2018 5:55
GCSK,13.095,1/1/2018 6:00
GCSK,13.093,1/1/2018 6:05
GCSK,13.09,1/1/2018 6:10
GCSK,13.091,1/1/2018 6:15
GCSK,13.09,1/1/2018 6:20
GCSK,13.082,1/1/2018 6:25
GCSK,13.079,1/1/2018 6:30
GCSK,13.073,1/1/2018 6:35
GCSK,13.072,1/1/2018 6:40
GCSK,13.067,1/1/2018 6:45
GCSK,13.067,1/1/2018 6:50
GCSK,13.061,1/1/2018 6:55
GCSK,13.06,1/1/2018 7:00
GCSK,13.06,1/1/2018 7:05
GCSK,13.058,1/1/2018 7:10
