site,WTMP,DateTimeStamp
oy,-0.1553955,1/1/2018 0:36
oy,0.08236694,1/1/2018 7:54
oy,0.3191223,1/1/2018 13:54
oy,-0.1812134,1/1/2018 20:12
oy,-1.362305,1/2/2018 8:54
oy,-1.963745,1/2/2018 14:36
oy,-0.4785156,1/2/2018 21:12
oy,-1.407715,1/3/2018 9:42
oy,-0.8143921,1/3/2018 15:24
oy,-0.7100525,1/3/2018 22:06
oy,-0.2075195,1/4/2018 3:42
oy,-1.489258,1/4/2018 10:36
oy,-1.257385,1/4/2018 16:18
oy,-1.387695,1/4/2018 22:18
oy,-1.195374,1/5/2018 4:42
oy,-1.608948,1/5/2018 11:06
oy,-4.010162,1/5/2018 17:00
oy,-1.658264,1/5/2018 23:24
oy,-1.609894,1/6/2018 12:24
oy,-2.749268,1/6/2018 16:36
oy,-1.610413,1/7/2018 0:42
oy,-1.469727,1/7/2018 13:00
oy,-0.8699951,1/7/2018 18:54
oy,-1.521027,1/8/2018 1:30
oy,-0.4560547,1/8/2018 7:12
oy,-1.354492,1/8/2018 14:00
oy,0.02731323,1/8/2018 20:12
oy,-1.391602,1/9/2018 2:30
oy,0.0663147,1/9/2018 8:00
oy,-1.028015,1/9/2018 15:06
oy,-0.2089844,1/9/2018 21:00
oy,-0.7997437,1/10/2018 3:48
oy,-0.3322754,1/10/2018 8:54
oy,-0.3985596,1/10/2018 15:54
oy,-0.1758423,1/10/2018 22:06
oy,-0.4823914,1/11/2018 4:36
oy,0.1208496,1/11/2018 10:42
oy,0.5139771,1/11/2018 16:54
oy,0.6225891,1/11/2018 22:00
oy,1.017242,1/12/2018 5:24
oy,1.035706,1/12/2018 11:30
oy,1.711273,1/12/2018 17:48
oy,2.236633,1/12/2018 23:18
oy,2.821808,1/13/2018 6:00
oy,3.755585,1/13/2018 12:18
oy,3.455566,1/13/2018 19:00
oy,2.352356,1/14/2018 0:36
oy,1.993164,1/14/2018 7:00
oy,1.473846,1/14/2018 13:06
oy,2.100525,1/14/2018 19:18
oy,2.744598,1/15/2018 1:18
oy,0.870575,1/15/2018 8:06
oy,1.659576,1/15/2018 13:36
oy,1.395844,1/15/2018 20:00
oy,1.839508,1/16/2018 1:48
oy,0.9071045,1/16/2018 8:36
oy,2.298645,1/16/2018 14:06
oy,1.60202,1/16/2018 20:18
oy,2.014618,1/17/2018 2:30
oy,1.303741,1/17/2018 9:06
oy,1.833191,1/17/2018 15:42
oy,1.318359,1/17/2018 21:12
oy,0.7429504,1/18/2018 3:24
oy,0.1530151,1/18/2018 9:42
oy,1.259399,1/18/2018 15:36
oy,0.9553528,1/18/2018 21:06
oy,0.9714355,1/19/2018 3:48
oy,0.4823303,1/19/2018 10:00
oy,2.306458,1/19/2018 16:18
oy,1.626434,1/19/2018 22:24
oy,1.979492,1/20/2018 4:24
oy,1.199921,1/20/2018 10:36
oy,2.895172,1/20/2018 16:30
oy,2.4422,1/20/2018 23:12
oy,2.680573,1/21/2018 5:06
oy,2.222504,1/21/2018 11:24
