site,WTMP,DateTimeStamp
wh,1,1/1/2018 0:00
wh,1,1/1/2018 0:06
wh,1,1/1/2018 0:12
wh,1,1/1/2018 0:18
wh,1,1/1/2018 0:24
wh,0.9,1/1/2018 0:30
wh,0.8,1/1/2018 0:36
wh,0.7,1/1/2018 0:42
wh,0.6,1/1/2018 0:48
wh,0.5,1/1/2018 0:54
wh,0.5,1/1/2018 1:00
wh,0.5,1/1/2018 1:06
wh,0.4,1/1/2018 1:12
wh,0.4,1/1/2018 1:18
wh,0.5,1/1/2018 1:24
wh,0.6,1/1/2018 1:30
wh,0.6,1/1/2018 1:36
wh,0.5,1/1/2018 1:42
wh,0.4,1/1/2018 1:48
wh,0.3,1/1/2018 1:54
wh,0.2,1/1/2018 2:00
wh,0.2,1/1/2018 2:06
wh,0.2,1/1/2018 2:12
wh,0.2,1/1/2018 2:18
wh,0.2,1/1/2018 2:24
wh,0.2,1/1/2018 2:30
wh,0.2,1/1/2018 2:36
wh,0.2,1/1/2018 2:42
wh,0.2,1/1/2018 2:48
wh,0.2,1/1/2018 2:54
wh,0.1,1/1/2018 3:00
wh,0.2,1/1/2018 3:06
wh,0.3,1/1/2018 3:12
wh,0.4,1/1/2018 3:18
wh,0.4,1/1/2018 3:24
wh,0.4,1/1/2018 3:30
wh,0.3,1/1/2018 3:36
wh,0.3,1/1/2018 3:42
wh,0.3,1/1/2018 3:48
wh,0.2,1/1/2018 3:54
wh,0.1,1/1/2018 4:00
wh,0.1,1/1/2018 4:06
wh,0.1,1/1/2018 4:12
wh,0,1/1/2018 4:18
wh,0,1/1/2018 4:24
wh,-0.1,1/1/2018 4:30
wh,-0.1,1/1/2018 4:36
wh,-0.2,1/1/2018 4:42
wh,-0.2,1/1/2018 4:48
wh,-0.2,1/1/2018 4:54
wh,-0.2,1/1/2018 5:00
wh,-0.2,1/1/2018 5:06
wh,-0.3,1/1/2018 5:12
wh,-0.3,1/1/2018 5:18
wh,-0.3,1/1/2018 5:24
wh,-0.3,1/1/2018 5:30
wh,-0.3,1/1/2018 5:36
wh,-0.3,1/1/2018 5:42
wh,-0.3,1/1/2018 5:48
wh,-0.3,1/1/2018 5:54
wh,-0.3,1/1/2018 6:00
wh,-0.2,1/1/2018 6:06
wh,-0.2,1/1/2018 6:12
wh,-0.2,1/1/2018 6:18
wh,-0.2,1/1/2018 6:24
wh,-0.2,1/1/2018 6:30
wh,-0.3,1/1/2018 6:36
wh,-0.3,1/1/2018 6:42
wh,-0.3,1/1/2018 6:48
wh,-0.3,1/1/2018 6:54
wh,-0.3,1/1/2018 7:00
wh,-0.3,1/1/2018 7:06
wh,0.4,1/1/2018 7:12
wh,0.7,1/1/2018 7:18
wh,0.1,1/1/2018 7:24
wh,0.8,1/1/2018 7:30
wh,1.1,1/1/2018 7:36
wh,1,1/1/2018 7:42
wh,1.1,1/1/2018 7:48
wh,1.2,1/1/2018 7:54
wh,1.2,1/1/2018 8:00
wh,1.2,1/1/2018 8:06
wh,1.2,1/1/2018 8:12
wh,1.3,1/1/2018 8:18
wh,1.3,1/1/2018 8:24
wh,1.3,1/1/2018 8:30
wh,1.3,1/1/2018 8:36
wh,1.2,1/1/2018 8:42
wh,1.1,1/1/2018 8:48
wh,1.1,1/1/2018 8:54
wh,1.1,1/1/2018 9:00
wh,1.1,1/1/2018 9:06
wh,1.1,1/1/2018 9:12
wh,1.1,1/1/2018 9:18
wh,1,1/1/2018 9:24
wh,1,1/1/2018 9:30
wh,1,1/1/2018 9:36
wh,0.9,1/1/2018 9:42
wh,0.8,1/1/2018 9:48
wh,0.6,1/1/2018 9:54
wh,0.5,1/1/2018 10:00
wh,0.5,1/1/2018 10:06
wh,0.5,1/1/2018 10:12
