WTMP,site,DateTimeStamp
11.12,hmi2,1/8/2018 13:46
11.19,hmi2,1/8/2018 14:01
11,hmi2,1/8/2018 16:16
10.98,hmi2,1/8/2018 16:31
10.98,hmi2,1/8/2018 16:46
10.98,hmi2,1/8/2018 17:01
10.93,hmi2,1/8/2018 17:16
10.89,hmi2,1/8/2018 17:31
10.89,hmi2,1/8/2018 17:46
10.85,hmi2,1/8/2018 18:01
10.81,hmi2,1/8/2018 18:16
10.79,hmi2,1/8/2018 18:31
11.18,hmi2,1/8/2018 14:16
10.75,hmi2,1/8/2018 18:46
10.71,hmi2,1/8/2018 19:01
10.68,hmi2,1/8/2018 19:16
10.66,hmi2,1/8/2018 19:31
10.64,hmi2,1/8/2018 19:46
10.66,hmi2,1/8/2018 20:01
10.68,hmi2,1/8/2018 20:16
10.69,hmi2,1/8/2018 20:31
10.66,hmi2,1/8/2018 20:46
10.6,hmi2,1/8/2018 21:01
11.15,hmi2,1/8/2018 14:31
10.61,hmi2,1/8/2018 21:16
10.55,hmi2,1/8/2018 21:31
10.56,hmi2,1/8/2018 21:46
10.64,hmi2,1/8/2018 22:01
10.69,hmi2,1/8/2018 22:16
10.75,hmi2,1/8/2018 22:31
10.81,hmi2,1/8/2018 22:46
10.84,hmi2,1/8/2018 23:01
10.89,hmi2,1/8/2018 23:16
10.91,hmi2,1/8/2018 23:31
11.09,hmi2,1/8/2018 14:46
10.92,hmi2,1/8/2018 23:46
11.08,hmi2,1/8/2018 15:01
11.09,hmi2,1/8/2018 15:16
11.08,hmi2,1/8/2018 15:31
11.06,hmi2,1/8/2018 15:46
11.04,hmi2,1/8/2018 16:01
11.02,hmi2,1/9/2018 1:01
11.12,hmi2,1/9/2018 2:16
11.07,hmi2,1/9/2018 3:31
10.82,hmi2,1/9/2018 4:46
10.78,hmi2,1/9/2018 6:01
10.55,hmi2,1/9/2018 7:16
10.56,hmi2,1/9/2018 8:31
10.44,hmi2,1/9/2018 9:46
10.81,hmi2,1/9/2018 11:01
11.03,hmi2,1/9/2018 12:16
11.14,hmi2,1/9/2018 13:31
11.2,hmi2,1/9/2018 14:46
11.11,hmi2,1/9/2018 16:01
11.06,hmi2,1/9/2018 17:16
10.9,hmi2,1/9/2018 18:31
10.84,hmi2,1/9/2018 19:46
10.84,hmi2,1/9/2018 21:01
10.81,hmi2,1/9/2018 22:16
10.95,hmi2,1/9/2018 23:31
