site,WTMP,DateTimeStamp
nah15,6.7761,01/01/2018 00:13
nah15,6.7135,01/01/2018 00:28
nah15,6.6638,01/01/2018 00:43
nah15,5.9672,01/01/2018 00:58
nah15,5.2357,01/01/2018 01:13
nah15,5.4406,01/01/2018 01:28
nah15,5.655,01/01/2018 01:43
nah15,5.8609,01/01/2018 01:58
nah15,5.882,01/01/2018 02:13
nah15,6.0183,01/01/2018 02:28
nah15,5.773,01/01/2018 02:43
nah15,5.628,01/01/2018 02:58
nah15,5.3294,01/01/2018 03:13
nah15,5.1335,01/01/2018 03:28
nah15,5.4596,01/01/2018 03:43
nah15,5.1078,01/01/2018 03:58
nah15,4.8043,01/01/2018 04:13
nah15,4.9482,01/01/2018 04:28
nah15,5.0591,01/01/2018 04:43
nah15,5.3141,01/01/2018 04:58
nah15,5.3497,01/01/2018 05:13
nah15,5.5226,01/01/2018 05:28
nah15,5.5906,01/01/2018 05:43
nah15,5.3348,01/01/2018 05:58
nah15,5.3109,01/01/2018 06:13
nah15,5.855,01/01/2018 06:28
nah15,5.878,01/01/2018 06:43
nah15,4.6343,01/01/2018 06:58
nah15,4.8425,01/01/2018 07:13
nah15,4.359,01/01/2018 07:28
nah15,4.6072,01/01/2018 07:43
nah15,4.4303,01/01/2018 07:58
nah15,5.3046,01/01/2018 08:13
nah15,4.9761,01/01/2018 08:28
nah15,4.38,01/01/2018 08:43
nah15,4.5149,01/01/2018 08:58
nah15,4.3933,01/01/2018 09:13
nah15,4.6368,01/01/2018 09:28
nah15,5.0889,01/01/2018 09:43
nah15,5.5911,01/01/2018 09:58
nah15,6.4114,01/01/2018 10:13
nah15,6.488,01/01/2018 10:28
nah15,6.5791,01/01/2018 10:43
nah15,6.7848,01/01/2018 10:58
nah15,7.4005,01/01/2018 11:13
nah15,7.273,01/01/2018 11:28
nah15,7.2866,01/01/2018 11:43
nah15,5.5749,01/01/2018 11:58
nah15,5.8681,01/01/2018 12:13
nah15,6.2269,01/01/2018 12:28
nah15,6.1339,01/01/2018 12:43
nah15,5.8023,01/01/2018 12:58
nah15,6.5482,01/01/2018 13:13
nah15,6.2337,01/01/2018 13:28
nah15,6.5376,01/01/2018 13:43
nah15,6.8199,01/01/2018 13:58
nah15,6.4288,01/01/2018 14:13
nah15,6.2924,01/01/2018 14:28
nah15,6.4027,01/01/2018 14:43
nah15,6.0699,01/01/2018 14:58
nah15,6.1296,01/01/2018 15:13
nah15,6.4543,01/01/2018 15:28
nah15,6.6744,01/01/2018 15:43
nah15,6.6335,01/01/2018 15:58
nah15,6.8031,01/01/2018 16:13
nah15,7.0917,01/01/2018 16:28
nah15,6.8059,01/01/2018 16:43
nah15,7.1345,01/01/2018 16:58
nah15,7.0907,01/01/2018 17:13
nah15,6.5843,01/01/2018 17:28
nah15,6.8026,01/01/2018 17:43
nah15,7.1718,01/01/2018 17:58
nah15,6.9991,01/01/2018 18:13
nah15,6.0631,01/01/2018 18:28
nah15,6.4109,01/01/2018 18:43
nah15,6.331,01/01/2018 18:58
nah15,6.3806,01/01/2018 19:13
nah15,6.3921,01/01/2018 19:28
nah15,6.3666,01/01/2018 19:43
nah15,6.3994,01/01/2018 19:58
nah15,6.4495,01/01/2018 20:13
nah15,6.4312,01/01/2018 20:28
nah15,6.436,01/01/2018 20:43
nah15,6.4582,01/01/2018 20:58
nah15,6.4726,01/01/2018 21:13
nah15,6.5212,01/01/2018 21:28
nah15,6.5362,01/01/2018 21:43
nah15,6.5439,01/01/2018 21:58
nah15,5.7636,01/01/2018 22:13
nah15,5.8599,01/01/2018 22:28
nah15,5.8617,01/01/2018 22:43
nah15,6.1417,01/01/2018 22:58
nah15,6.1908,01/01/2018 23:13
nah15,6.1571,01/01/2018 23:28
nah15,6.171,01/01/2018 23:43
nah15,6.3555,01/01/2018 23:58
nah15,6.4379,01/02/2018 00:13
nah15,6.5164,01/02/2018 00:28
nah15,6.5718,01/02/2018 00:43
nah15,6.6542,01/02/2018 00:58
nah15,7.0786,01/02/2018 01:13
nah15,7.0681,01/02/2018 01:28
nah15,7.1688,01/02/2018 01:43
nah15,6.9987,01/02/2018 01:58
nah15,6.9837,01/02/2018 02:13
nah15,6.4957,01/02/2018 02:28
nah15,6.5039,01/02/2018 02:43
nah15,6.6215,01/02/2018 02:58
nah15,6.8522,01/02/2018 03:13
nah15,6.9919,01/02/2018 03:28
nah15,7.0469,01/02/2018 03:43
nah15,7.0746,01/02/2018 03:58
