WTMP,DateTimeStamp,site
17.2136,11/13/2018 22:09,to3
17.2536,11/13/2018 22:39,to3
17.2888,11/13/2018 23:09,to3
17.3647,11/13/2018 23:39,to3
17.3051,11/14/2018 0:09,to3
17.2273,11/14/2018 0:39,to3
17.1384,11/14/2018 1:09,to3
17.0933,11/14/2018 1:39,to3
17.1186,11/14/2018 2:09,to3
17.119,11/14/2018 2:39,to3
17.1022,11/14/2018 3:09,to3
17.0632,11/14/2018 3:39,to3
17.0837,11/14/2018 4:09,to3
17.0641,11/14/2018 4:39,to3
17.0781,11/14/2018 5:09,to3
17.0787,11/14/2018 5:39,to3
17.0368,11/14/2018 6:09,to3
17.0172,11/14/2018 6:39,to3
16.9679,11/14/2018 7:09,to3
16.9684,11/14/2018 7:39,to3
16.9502,11/14/2018 8:09,to3
16.9297,11/14/2018 8:39,to3
16.9048,11/14/2018 9:09,to3
16.9307,11/14/2018 9:39,to3
16.9599,11/14/2018 10:09,to3
16.9347,11/14/2018 10:39,to3
16.9049,11/14/2018 11:09,to3
16.8811,11/14/2018 11:39,to3
16.8742,11/14/2018 12:09,to3
16.8826,11/14/2018 12:39,to3
16.8991,11/14/2018 13:09,to3
16.9167,11/14/2018 13:39,to3
16.9234,11/14/2018 14:09,to3
16.9355,11/14/2018 14:39,to3
16.913,11/14/2018 15:09,to3
16.889,11/14/2018 15:39,to3
16.8657,11/14/2018 16:09,to3
16.7939,11/14/2018 16:39,to3
16.7461,11/14/2018 17:09,to3
16.7823,11/14/2018 17:39,to3
16.8124,11/14/2018 18:09,to3
16.8632,11/14/2018 18:39,to3
16.9512,11/14/2018 19:09,to3
16.9809,11/14/2018 19:39,to3
17.0985,11/14/2018 20:09,to3
17.1536,11/14/2018 20:39,to3
17.2134,11/14/2018 21:09,to3
17.2428,11/14/2018 21:39,to3
17.2255,11/14/2018 22:09,to3
17.2943,11/14/2018 22:39,to3
17.2803,11/14/2018 23:09,to3
17.2746,11/14/2018 23:39,to3
17.2581,11/15/2018 0:09,to3
17.2678,11/15/2018 0:39,to3
17.2768,11/15/2018 1:09,to3
17.2535,11/15/2018 1:39,to3
17.2432,11/15/2018 2:09,to3
17.2156,11/15/2018 2:39,to3
17.1972,11/15/2018 3:09,to3
17.115,11/15/2018 3:39,to3
17.0609,11/15/2018 4:09,to3
17.0174,11/15/2018 4:39,to3
16.9817,11/15/2018 5:09,to3
16.9884,11/15/2018 5:39,to3
16.9891,11/15/2018 6:09,to3
16.9712,11/15/2018 6:39,to3
16.9177,11/15/2018 7:09,to3
16.8833,11/15/2018 7:39,to3
16.8433,11/15/2018 8:09,to3
16.7612,11/15/2018 8:39,to3
16.7595,11/15/2018 9:09,to3
16.7308,11/15/2018 9:39,to3
16.77,11/15/2018 10:09,to3
16.7744,11/15/2018 10:39,to3
16.8056,11/15/2018 11:09,to3
16.7407,11/15/2018 11:39,to3
16.7388,11/15/2018 12:09,to3
16.7492,11/15/2018 12:39,to3
16.7225,11/15/2018 13:09,to3
16.772,11/15/2018 13:39,to3
16.7834,11/15/2018 14:09,to3
