,rdate,sap
1,1/1/2014,13.209375
2,1/2/2014,13.47395833
3,1/3/2014,10.2875
4,1/4/2014,10.53645833
5,1/5/2014,10.85625
6,1/6/2014,11.68854167
7,1/7/2014,9.234375
8,1/8/2014,7.935416667
9,1/9/2014,8.301041667
10,1/10/2014,10.13229167
11,1/11/2014,12.20520833
12,1/12/2014,12.90520833
13,1/13/2014,12.38854167
14,1/14/2014,12.82291667
15,1/15/2014,12.615625
16,1/16/2014,11.58541667
17,1/17/2014,10.815625
18,1/18/2014,10.084375
19,1/19/2014,9.898958333
20,1/20/2014,10.25104167
21,1/21/2014,11
22,1/22/2014,10.42083333
23,1/23/2014,9.513541667
24,1/24/2014,8.801041667
25,1/25/2014,8.734375
26,1/26/2014,8.964583333
27,1/27/2014,9.757291667
28,1/28/2014,10.0875
29,1/29/2014,7.584375
30,1/30/2014,6.347916667
31,1/31/2014,7.066666667
32,2/1/2014,8.158333333
33,2/2/2014,9.683333333
34,2/3/2014,12.0625
35,2/4/2014,13.01666667
36,2/5/2014,13.35
37,2/6/2014,13.37083333
38,2/7/2014,12.909375
39,2/8/2014,12.60416667
40,2/9/2014,12.31666667
41,2/10/2014,12.46875
42,2/11/2014,12.440625
43,2/12/2014,10.84791667
44,2/13/2014,9.422916667
45,2/14/2014,9.3
46,2/15/2014,10.36041667
47,2/16/2014,10.63125
48,2/17/2014,11.25833333
49,2/18/2014,12.11666667
50,2/19/2014,13.5
51,2/20/2014,15.33854167
52,2/21/2014,16.36041667
53,2/22/2014,16.675
54,2/23/2014,16.12916667
55,2/24/2014,16.29375
56,2/25/2014,16.65104167
57,2/26/2014,16.35
58,2/27/2014,14.77083333
59,2/28/2014,13.90104167
60,3/1/2014,14.0125
61,3/2/2014,14.66979167
62,3/3/2014,15.92604167
63,3/4/2014,15.36354167
64,3/5/2014,13.109375
65,3/6/2014,12.003125
66,3/7/2014,11.059375
67,3/8/2014,11.478125
68,3/9/2014,12.9423913
69,3/10/2014,14.22083333
70,3/11/2014,15.16875
71,3/12/2014,16.209375
72,3/13/2014,15.540625
73,3/14/2014,14.64375
74,3/15/2014,14.95
75,3/16/2014,15.79583333
76,3/17/2014,16.36041667
77,3/18/2014,15.50833333
78,3/19/2014,15.51458333
79,3/20/2014,16.540625
80,3/21/2014,17.45729167
81,3/22/2014,17.99791667
82,3/23/2014,18.659375
83,3/24/2014,17.91041667
84,3/25/2014,17.02604167
85,3/26/2014,15.3375
86,3/27/2014,15.11770833
87,3/28/2014,15.88645833
88,3/29/2014,16.98333333
89,3/30/2014,16.64895833
90,3/31/2014,16.98854167
120,4/30/2014,
121,5/1/2014,
122,5/2/2014,
123,5/3/2014,
124,5/4/2014,
125,5/5/2014,
119,4/29/2014,
116,4/26/2014,
117,4/27/2014,
126,5/6/2014,25.575
128,5/8/2014,25.21145833
127,5/7/2014,24.721875
118,4/28/2014,24.49895833
115,4/25/2014,22.12083333
104,4/14/2014,22.11458333
105,4/15/2014,22.03125
114,4/24/2014,21.59895833
103,4/13/2014,21.44166667
95,4/5/2014,21.08854167
96,4/6/2014,21.03020833
113,4/23/2014,20.81041667
102,4/12/2014,20.78854167
94,4/4/2014,20.46458333
98,4/8/2014,20.33645833
99,4/9/2014,20.27604167
101,4/11/2014,20.27604167
97,4/7/2014,20.24375
100,4/10/2014,20.03229167
106,4/16/2014,19.54791667
112,4/22/2014,19.496875
93,4/3/2014,19.37395833
92,4/2/2014,18.40625
111,4/21/2014,17.96666667
107,4/17/2014,17.878125
91,4/1/2014,17.55104167
109,4/19/2014,17.296875
108,4/18/2014,17.26145833
110,4/20/2014,17.04583333
129,5/9/2014,25.61145833
